run_id,cancer,rank_in_run,feature_name_display,feature_name_internal,pathway,main_effect
1,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.02
1,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.017
1,LUAD,4,TP53_zsum,PW_TP53_zsum,TP53,0.005
1,LUAD,5,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.005
1,LUAD,7,Cell_Cycle_any_rate,PW_Cell_Cycle_any_rate_z,Cell_Cycle,0.004
1,LUAD,8,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.004
1,LUAD,9,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.003
1,LUAD,10,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,0.002
1,LUAD,12,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,0.002
1,LUAD,13,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.002
1,LUAD,14,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.002
1,LUAD,16,MYC_del_hit,PW_MYC_del_hit,MYC,0.001
1,LUAD,17,NRF2_del_hit,PW_NRF2_del_hit,NRF2,0.001
1,LUAD,18,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0
1,LUAD,20,RTK_RAS_zsum,PW_RTK_RAS_zsum,RTK_RAS,0.0
1,LUAD,21,DDR_zsum,PW_DDR_zsum,DDR,-0.001
1,LUAD,22,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
1,LUAD,24,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,-0.004
1,LUAD,26,PI3K_sv_hit,PW_PI3K_sv_hit,PI3K,-0.006
2,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.023
2,LUAD,3,NRF2_mut_rate,PW_NRF2_mut_rate_z,NRF2,0.017
2,LUAD,5,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.007
2,LUAD,6,TP53_zsum,PW_TP53_zsum,TP53,0.007
2,LUAD,7,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.005
2,LUAD,8,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,0.005
2,LUAD,9,RTK_RAS_del_hit,PW_RTK_RAS_del_hit,RTK_RAS,0.003
2,LUAD,10,DDR_amp_hit,PW_DDR_amp_hit,DDR,0.003
2,LUAD,11,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,0.002
2,LUAD,13,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.001
2,LUAD,15,TP53_amp_hit,PW_TP53_amp_hit,TP53,0.001
2,LUAD,16,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.001
2,LUAD,17,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.001
2,LUAD,19,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0
2,LUAD,20,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,-0.001
2,LUAD,21,DDR_any_rate,PW_DDR_any_rate_z,DDR,-0.001
2,LUAD,23,DDR_zsum,PW_DDR_zsum,DDR,-0.003
2,LUAD,25,NRF2_del_hit,PW_NRF2_del_hit,NRF2,-0.005
2,LUAD,26,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,Cell_Cycle,-0.007
3,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.02
3,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.016
3,LUAD,4,TP53_zsum,PW_TP53_zsum,TP53,0.006
3,LUAD,5,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.006
3,LUAD,6,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.005
3,LUAD,7,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.005
3,LUAD,10,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.003
3,LUAD,12,NRF2_del_hit,PW_NRF2_del_hit,NRF2,0.002
3,LUAD,13,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.001
3,LUAD,14,MYC_sv_hit,PW_MYC_sv_hit,MYC,0.001
3,LUAD,16,PI3K_sv_hit,PW_PI3K_sv_hit,PI3K,0.0
3,LUAD,17,RTK_RAS_zsum,PW_RTK_RAS_zsum,RTK_RAS,0.0
3,LUAD,18,TP53_del_hit,PW_TP53_del_hit,TP53,0.0
3,LUAD,19,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.001
3,LUAD,20,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
3,LUAD,21,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,-0.002
3,LUAD,22,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,-0.002
3,LUAD,23,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,-0.002
3,LUAD,24,DDR_zsum,PW_DDR_zsum,DDR,-0.003
3,LUAD,25,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,Cell_Cycle,-0.004
3,LUAD,28,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,-0.006
3,LUAD,29,MYC_del_hit,PW_MYC_del_hit,MYC,-0.007
4,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.02
4,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.016
4,LUAD,4,TP53_zsum,PW_TP53_zsum,TP53,0.006
4,LUAD,5,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.006
4,LUAD,6,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.005
4,LUAD,7,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.005
4,LUAD,10,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.003
4,LUAD,12,NRF2_del_hit,PW_NRF2_del_hit,NRF2,0.002
4,LUAD,13,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.001
4,LUAD,14,MYC_sv_hit,PW_MYC_sv_hit,MYC,0.001
4,LUAD,16,PI3K_sv_hit,PW_PI3K_sv_hit,PI3K,0.0
4,LUAD,17,RTK_RAS_zsum,PW_RTK_RAS_zsum,RTK_RAS,0.0
4,LUAD,18,TP53_del_hit,PW_TP53_del_hit,TP53,0.0
4,LUAD,19,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.001
4,LUAD,20,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
4,LUAD,21,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,-0.002
4,LUAD,22,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,-0.002
4,LUAD,23,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,-0.002
4,LUAD,24,DDR_zsum,PW_DDR_zsum,DDR,-0.003
4,LUAD,25,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,Cell_Cycle,-0.004
4,LUAD,28,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,-0.006
4,LUAD,29,MYC_del_hit,PW_MYC_del_hit,MYC,-0.007
5,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.02
5,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.016
5,LUAD,4,TP53_zsum,PW_TP53_zsum,TP53,0.006
5,LUAD,5,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.006
5,LUAD,6,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.005
5,LUAD,7,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.005
5,LUAD,10,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.003
5,LUAD,12,NRF2_del_hit,PW_NRF2_del_hit,NRF2,0.002
5,LUAD,13,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.001
5,LUAD,14,MYC_sv_hit,PW_MYC_sv_hit,MYC,0.001
5,LUAD,16,PI3K_sv_hit,PW_PI3K_sv_hit,PI3K,0.0
5,LUAD,17,RTK_RAS_zsum,PW_RTK_RAS_zsum,RTK_RAS,0.0
5,LUAD,18,TP53_del_hit,PW_TP53_del_hit,TP53,0.0
5,LUAD,19,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.001
5,LUAD,20,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
5,LUAD,21,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,-0.002
5,LUAD,22,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,-0.002
5,LUAD,23,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,-0.002
5,LUAD,24,DDR_zsum,PW_DDR_zsum,DDR,-0.003
5,LUAD,25,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,Cell_Cycle,-0.004
5,LUAD,28,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,-0.006
5,LUAD,29,MYC_del_hit,PW_MYC_del_hit,MYC,-0.007
6,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.022
6,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.018
6,LUAD,5,TP53_zsum,PW_TP53_zsum,TP53,0.006
6,LUAD,6,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.005
6,LUAD,7,TP53_del_hit,PW_TP53_del_hit,TP53,0.004
6,LUAD,8,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.004
6,LUAD,9,NRF2_del_hit,PW_NRF2_del_hit,NRF2,0.004
6,LUAD,11,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.002
6,LUAD,12,TP53_amp_hit,PW_TP53_amp_hit,TP53,0.002
6,LUAD,13,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,Cell_Cycle,0.001
6,LUAD,14,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.0
6,LUAD,15,DDR_zsum,PW_DDR_zsum,DDR,0.0
6,LUAD,16,MYC_del_hit,PW_MYC_del_hit,MYC,0.0
6,LUAD,17,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.001
6,LUAD,19,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,-0.002
6,LUAD,20,DDR_any_rate,PW_DDR_any_rate_z,DDR,-0.002
6,LUAD,23,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,-0.004
6,LUAD,24,DDR_del_hit,PW_DDR_del_hit,DDR,-0.005
6,LUAD,26,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,-0.006
6,LUAD,27,RTK_RAS_del_hit,PW_RTK_RAS_del_hit,RTK_RAS,-0.009
7,LUAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.024
7,LUAD,3,NRF2_zsum,PW_NRF2_zsum,NRF2,0.018
7,LUAD,4,TP53_zsum,PW_TP53_zsum,TP53,0.007
7,LUAD,5,TP53_any_rate,PW_TP53_any_rate_z,TP53,0.007
7,LUAD,6,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.005
7,LUAD,8,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.004
7,LUAD,9,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,0.003
7,LUAD,10,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.003
7,LUAD,11,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.002
7,LUAD,12,RTK_RAS_del_hit,PW_RTK_RAS_del_hit,RTK_RAS,0.002
7,LUAD,13,TP53_amp_hit,PW_TP53_amp_hit,TP53,0.001
7,LUAD,16,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,0.001
7,LUAD,17,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.001
7,LUAD,19,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.001
7,LUAD,20,DDR_zsum,PW_DDR_zsum,DDR,-0.001
7,LUAD,21,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,-0.001
