run_id,cancer,rank_in_run,feature_name_display,feature_name_internal,pathway,main_effect
1,PAAD,2,Cell_Cycle_any_rate,PW_Cell_Cycle_any_rate_z,Cell_Cycle,0.013
1,PAAD,3,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.01
1,PAAD,4,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.003
1,PAAD,5,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,0.003
1,PAAD,6,TP53_mut_rate,PW_TP53_mut_rate_z,TP53,0.003
1,PAAD,7,TGF_Beta_any_rate,PW_TGF_Beta_any_rate_z,TGF_Beta,0.001
1,PAAD,8,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.001
1,PAAD,10,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.001
1,PAAD,13,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,0.001
1,PAAD,14,HIPPO_del_hit,PW_HIPPO_del_hit,HIPPO,0.001
1,PAAD,15,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.001
1,PAAD,16,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,0.0
1,PAAD,19,Cell_Cycle_amp_hit,PW_Cell_Cycle_amp_hit,Cell_Cycle,-0.001
1,PAAD,20,TP53_del_hit,PW_TP53_del_hit,TP53,-0.001
1,PAAD,21,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
1,PAAD,22,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,-0.001
1,PAAD,23,TGF_Beta_sv_hit,PW_TGF_Beta_sv_hit,TGF_Beta,-0.001
1,PAAD,24,NOTCH_sv_hit,PW_NOTCH_sv_hit,NOTCH,-0.001
1,PAAD,26,MYC_any_rate,PW_MYC_any_rate_z,MYC,-0.003
1,PAAD,27,Chromatin_zsum,PW_Chromatin_zsum,Chromatin,-0.004
2,PAAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.005
2,PAAD,3,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.003
2,PAAD,4,TP53_mut_rate,PW_TP53_mut_rate_z,TP53,0.003
2,PAAD,5,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.003
2,PAAD,6,Cell_Cycle_any_rate,PW_Cell_Cycle_any_rate_z,Cell_Cycle,0.003
2,PAAD,7,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.003
2,PAAD,10,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.001
2,PAAD,11,Chromatin_zsum,PW_Chromatin_zsum,Chromatin,0.001
2,PAAD,12,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,0.001
2,PAAD,13,TGF_Beta_sv_hit,PW_TGF_Beta_sv_hit,TGF_Beta,0.001
2,PAAD,14,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,0.001
2,PAAD,15,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.001
2,PAAD,20,Cell_Cycle_amp_hit,PW_Cell_Cycle_amp_hit,Cell_Cycle,-0.001
2,PAAD,21,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,-0.001
2,PAAD,22,TP53_amp_hit,PW_TP53_amp_hit,TP53,-0.001
2,PAAD,23,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,-0.001
2,PAAD,24,NOTCH_sv_hit,PW_NOTCH_sv_hit,NOTCH,-0.001
2,PAAD,25,HIPPO_del_hit,PW_HIPPO_del_hit,HIPPO,-0.001
2,PAAD,26,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,-0.001
2,PAAD,27,TGF_Beta_mut_rate,PW_TGF_Beta_mut_rate_z,TGF_Beta,-0.003
3,PAAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.004
3,PAAD,3,NOTCH_any_rate,PW_NOTCH_any_rate_z,NOTCH,0.003
3,PAAD,4,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.003
3,PAAD,5,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.002
3,PAAD,6,TP53_zsum,PW_TP53_zsum,TP53,0.002
3,PAAD,7,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.002
3,PAAD,8,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,RTK_RAS,0.002
3,PAAD,9,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.002
3,PAAD,10,Cell_Cycle_any_rate,PW_Cell_Cycle_any_rate_z,Cell_Cycle,0.002
3,PAAD,11,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.001
3,PAAD,14,TP53_amp_hit,PW_TP53_amp_hit,TP53,0.001
3,PAAD,15,NOTCH_del_hit,PW_NOTCH_del_hit,NOTCH,0.001
3,PAAD,16,Chromatin_del_hit,PW_Chromatin_del_hit,Chromatin,0.001
3,PAAD,17,HIPPO_del_hit,PW_HIPPO_del_hit,HIPPO,0.0
3,PAAD,18,TGF_Beta_sv_hit,PW_TGF_Beta_sv_hit,TGF_Beta,0.0
3,PAAD,22,RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,RTK_RAS,-0.001
3,PAAD,23,Chromatin_any_rate,PW_Chromatin_any_rate_z,Chromatin,-0.001
3,PAAD,24,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,RTK_RAS,-0.001
3,PAAD,26,Cell_Cycle_amp_hit,PW_Cell_Cycle_amp_hit,Cell_Cycle,-0.002
3,PAAD,27,NOTCH_sv_hit,PW_NOTCH_sv_hit,NOTCH,-0.002
3,PAAD,28,TGF_Beta_mut_rate,PW_TGF_Beta_mut_rate_z,TGF_Beta,-0.002
