run_id,cancer,rank_in_run,feature_name_display,feature_name_internal,pathway,main_effect
1,PRAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.024
1,PRAD,3,TP53_zsum,PW_TP53_zsum,TP53,0.024
1,PRAD,4,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.004
1,PRAD,6,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.004
1,PRAD,8,DDR_amp_hit,PW_DDR_amp_hit,DDR,0.003
1,PRAD,9,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.002
1,PRAD,11,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.002
1,PRAD,12,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.002
1,PRAD,13,WNT_zsum,PW_WNT_zsum,WNT,0.0
1,PRAD,14,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.0
1,PRAD,15,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.0
1,PRAD,16,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.0
1,PRAD,17,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.0
1,PRAD,20,DDR_del_hit,PW_DDR_del_hit,DDR,-0.002
1,PRAD,22,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,-0.01
2,PRAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.033
2,PRAD,3,TP53_zsum,PW_TP53_zsum,TP53,0.027
2,PRAD,4,DDR_zsum,PW_DDR_zsum,DDR,0.008
2,PRAD,5,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.004
2,PRAD,7,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.003
2,PRAD,8,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.003
2,PRAD,11,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,0.001
2,PRAD,14,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,-0.001
2,PRAD,15,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,-0.002
2,PRAD,16,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,-0.002
2,PRAD,18,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,-0.005
2,PRAD,19,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,-0.014
3,PRAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.036
3,PRAD,3,TP53_zsum,PW_TP53_zsum,TP53,0.025
3,PRAD,4,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.009
3,PRAD,5,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.004
3,PRAD,6,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.003
3,PRAD,8,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,0.002
3,PRAD,9,DDR_zsum,PW_DDR_zsum,DDR,0.002
3,PRAD,10,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.0
3,PRAD,11,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,0.0
3,PRAD,13,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,-0.001
3,PRAD,17,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,-0.003
3,PRAD,19,Cell_Cycle_mut_rate,PW_Cell_Cycle_mut_rate_z,Cell_Cycle,-0.012
4,PRAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.024
4,PRAD,3,TP53_zsum,PW_TP53_zsum,TP53,0.024
4,PRAD,4,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.004
4,PRAD,6,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.004
4,PRAD,8,DDR_amp_hit,PW_DDR_amp_hit,DDR,0.003
4,PRAD,9,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.002
4,PRAD,11,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.002
4,PRAD,12,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.002
4,PRAD,13,WNT_zsum,PW_WNT_zsum,WNT,0.0
4,PRAD,14,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.0
4,PRAD,15,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.0
4,PRAD,16,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.0
4,PRAD,17,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.0
4,PRAD,20,DDR_del_hit,PW_DDR_del_hit,DDR,-0.002
4,PRAD,22,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,-0.01
5,PRAD,2,TP53_zsum,PW_TP53_zsum,TP53,0.027
5,PRAD,3,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.026
5,PRAD,5,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.004
5,PRAD,6,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.004
5,PRAD,7,WNT_zsum,PW_WNT_zsum,WNT,0.003
5,PRAD,8,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.003
5,PRAD,9,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.003
5,PRAD,11,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.002
5,PRAD,14,DDR_amp_hit,PW_DDR_amp_hit,DDR,0.0
5,PRAD,15,WNT_del_hit,PW_WNT_del_hit,WNT,0.0
5,PRAD,16,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.0
5,PRAD,17,WNT_sv_hit,PW_WNT_sv_hit,WNT,-0.001
5,PRAD,20,DDR_del_hit,PW_DDR_del_hit,DDR,-0.001
5,PRAD,21,PI3K_del_hit,PW_PI3K_del_hit,PI3K,-0.002
5,PRAD,22,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,-0.011
6,PRAD,2,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.033
6,PRAD,3,TP53_zsum,PW_TP53_zsum,TP53,0.029
6,PRAD,4,DDR_mut_rate,PW_DDR_mut_rate_z,DDR,0.009
6,PRAD,5,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,Cell_Cycle,0.005
6,PRAD,6,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.005
6,PRAD,7,DDR_del_hit,PW_DDR_del_hit,DDR,0.003
6,PRAD,8,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.003
6,PRAD,9,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,0.002
6,PRAD,10,DDR_zsum,PW_DDR_zsum,DDR,0.002
6,PRAD,11,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.002
6,PRAD,13,WNT_zsum,PW_WNT_zsum,WNT,0.001
6,PRAD,15,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.001
6,PRAD,16,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.0
6,PRAD,17,WNT_sv_hit,PW_WNT_sv_hit,WNT,-0.001
6,PRAD,20,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,-0.001
6,PRAD,23,WNT_del_hit,PW_WNT_del_hit,WNT,-0.015
7,PRAD,2,TP53_zsum,PW_TP53_zsum,TP53,0.027
7,PRAD,3,All_Pathway_Alteration_Count,PW_HIT_COUNT,HIT_COUNT,0.025
7,PRAD,4,WNT_mut_rate,PW_WNT_mut_rate_z,WNT,0.009
7,PRAD,5,DDR_any_rate,PW_DDR_any_rate_z,DDR,0.003
7,PRAD,6,DDR_amp_hit,PW_DDR_amp_hit,DDR,0.003
7,PRAD,8,PI3K_del_hit,PW_PI3K_del_hit,PI3K,0.002
7,PRAD,9,Chromatin_sv_hit,PW_Chromatin_sv_hit,Chromatin,0.002
7,PRAD,10,Cell_Cycle_mut_rate,PW_Cell_Cycle_mut_rate_z,Cell_Cycle,0.002
7,PRAD,11,WNT_any_rate,PW_WNT_any_rate_z,WNT,0.002
7,PRAD,12,PI3K_amp_hit,PW_PI3K_amp_hit,PI3K,0.001
7,PRAD,13,DRIVER_BURDEN,PW_DRIVER_BURDEN_z,DRIVER_BURDEN,0.001
7,PRAD,14,WNT_zsum,PW_WNT_zsum,WNT,0.001
7,PRAD,16,Cell_Cycle_del_hit,PW_Cell_Cycle_del_hit,Cell_Cycle,0.0
7,PRAD,17,DDR_sv_hit,PW_DDR_sv_hit,DDR,0.0
7,PRAD,20,DDR_del_hit,PW_DDR_del_hit,DDR,-0.002
7,PRAD,23,WNT_amp_hit,PW_WNT_amp_hit,WNT,-0.009
