cancer,rank,feature_name_paper,feature_name_display,feature_name_internal,selected_runs_of_30,selection_frequency,mean_main_effect,mean_abs_main_effect,pr_list
IDC,1,All-pathway alteration count,All_Pathway_Alteration_Count,PW_HIT_COUNT,30,1.0,0.0244,0.0244,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,2,TP53 mutation rate (z),TP53_mut_rate,PW_TP53_mut_rate_z,30,1.0,0.0178,0.0178,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,3,Cell cycle SV hit,Cell_Cycle_sv_hit,PW_Cell_Cycle_sv_hit,30,1.0,-0.0136,0.0136,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,4,Chromatin remodeling alt.-class composite,Chromatin_zsum,PW_Chromatin_zsum,28,0.933,-0.0099,0.0099,"0,1,2,3,4,8,10,11,14,15,17,18,19,21,22,23,24,25,26,27,28,29"
IDC,5,RTK–RAS amplification hit,RTK_RAS_amp_hit,PW_RTK_RAS_amp_hit,30,1.0,-0.0078,0.0078,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,6,TP53 any-alteration rate (z),TP53_any_rate,PW_TP53_any_rate_z,27,0.9,0.0067,0.0067,"0,1,2,3,4,5,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,7,Cell cycle alt.-class composite,Cell_Cycle_zsum,PW_Cell_Cycle_zsum,30,1.0,0.0055,0.0055,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,8,MYC alt.-class composite,MYC_zsum,PW_MYC_zsum,30,1.0,0.0039,0.0039,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,9,Chromatin remodeling amplification hit,Chromatin_amp_hit,PW_Chromatin_amp_hit,27,0.9,-0.0033,0.0033,"0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29"
IDC,10,Chromatin remodeling deletion hit,Chromatin_del_hit,PW_Chromatin_del_hit,25,0.833,-0.0029,0.0029,"0,1,2,3,4,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29"
IDC,11,Cell cycle any-alteration rate (z),Cell_Cycle_any_rate,PW_Cell_Cycle_any_rate_z,30,1.0,-0.0023,0.0023,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,12,RTK–RAS deletion hit,RTK_RAS_del_hit,PW_RTK_RAS_del_hit,28,0.933,-0.0017,0.0017,"0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,13,PI3K any-alteration rate (z),PI3K_any_rate,PW_PI3K_any_rate_z,30,1.0,0.0016,0.0016,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,14,DDR mutation rate (z),DDR_mut_rate,PW_DDR_mut_rate_z,30,1.0,-0.0011,0.0011,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,15,RTK–RAS SV hit,RTK_RAS_sv_hit,PW_RTK_RAS_sv_hit,28,0.933,0.0006,0.0006,"0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
IDC,16,TP53 alt.-class composite,TP53_zsum,PW_TP53_zsum,4,0.133,0.014,0.014,"5,6,9,13"
IDC,17,MYC deletion hit,MYC_del_hit,PW_MYC_del_hit,4,0.133,-0.0032,0.0043,"5,9,13,16"
IDC,18,MYC mutation rate (z),MYC_mut_rate,PW_MYC_mut_rate_z,3,0.1,-0.0137,0.0137,"9,13,28"
IDC,19,Chromatin remodeling mutation rate (z),Chromatin_mut_rate,PW_Chromatin_mut_rate_z,3,0.1,0.006,0.006,"7,12,20"
IDC,20,RTK–RAS mutation rate (z),RTK_RAS_mut_rate,PW_RTK_RAS_mut_rate_z,2,0.067,0.005,0.005,"9,13"
IDC,21,RTK–RAS alt.-class composite,RTK_RAS_zsum,PW_RTK_RAS_zsum,2,0.067,0.001,0.001,"9,13"
IDC,22,Chromatin remodeling any-alteration rate (z),Chromatin_any_rate,PW_Chromatin_any_rate_z,1,0.033,0.002,0.002,16
LUAD,1,All-pathway alteration count,All_Pathway_Alteration_Count,PW_HIT_COUNT,30,1.0,0.0235,0.0235,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29"
